date,type,Beløp inn,money out,category
02.04.2025,Varekjøp,,-146.23,Varekjøp
02.04.2025,immediate,,-180.0,immediate
01.04.2025,Varekjøp,,-247.7,Varekjøp
01.04.2025,Varekjøp,,-173.35,Varekjøp
01.04.2025,Varekjøp,,-48.84,Varekjøp
01.04.2025,Overføring,,-8000.0,Overføring
01.04.2025,Overføring,,-2000.0,Overføring
31.03.2025,Varekjøp,,-120.0,Varekjøp
31.03.2025,Varekjøp,,-238.39,Varekjøp
31.03.2025,Varekjøp,,-302.0,Varekjøp
31.03.2025,Varekjøp,,-315.49,Varekjøp
31.03.2025,Varekjøp,,-164.8,Varekjøp
28.03.2025,Varekjøp,,-219.05,Varekjøp
26.03.2025,Varekjøp,,-149.7,Varekjøp
26.03.2025,Varekjøp,,-131.9,Varekjøp
25.03.2025,Varekjøp,,-479.0,Varekjøp
25.03.2025,immediate,,-100.0,immediate
24.03.2025,Varekjøp,,-162.0,Varekjøp
24.03.2025,Varekjøp,,-35.0,Varekjøp
24.03.2025,Varekjøp,,-29.0,Varekjøp
24.03.2025,Varekjøp,,-135.8,Varekjøp
24.03.2025,Varekjøp,,-58.8,Varekjøp
24.03.2025,Varekjøp,,-71.0,Varekjøp
24.03.2025,Varekjøp,,-57.8,Varekjøp
24.03.2025,Varekjøp,,-210.0,Varekjøp
21.03.2025,Varekjøp,,-447.76,Varekjøp
20.03.2025,Varekjøp,,-67.55,Varekjøp
20.03.2025,Varekjøp,,-717.6,Varekjøp
20.03.2025,Betaling innland,,-6000.0,Betaling innland
20.03.2025,Varekjøp,,-86.4,Varekjøp
19.03.2025,Varekjøp,,-186.7,Varekjøp
19.03.2025,Varekjøp,,-296.3,Varekjøp
18.03.2025,Varekjøp,,-865.0,Varekjøp
18.03.2025,Varekjøp,,-10.0,Varekjøp
17.03.2025,Varekjøp,,-150.8,Varekjøp
17.03.2025,immediate,,-190.0,immediate
17.03.2025,Varekjøp,,-594.64,Varekjøp
17.03.2025,Varekjøp,,-105.2,Varekjøp
17.03.2025,Varekjøp,,-184.5,Varekjøp
17.03.2025,Varekjøp,,-238.4,Varekjøp
14.03.2025,Varekjøp,,-539.68,Varekjøp
14.03.2025,Varekjøp,,-15.0,Varekjøp
14.03.2025,Betaling innland,,-100.0,Betaling innland
13.03.2025,Varekjøp,,-458.0,Varekjøp
13.03.2025,Overføring,,-5000.0,Overføring
13.03.2025,Varekjøp,,-595.0,Varekjøp
13.03.2025,Varekjøp,,-50.0,Varekjøp
13.03.2025,Overføring,,-1500.0,Overføring
13.03.2025,immediate,,-258.33,immediate
13.03.2025,Overføring,,-1500.0,Overføring
12.03.2025,Varekjøp,,-282.13,Varekjøp
12.03.2025,Varekjøp,,-137.9,Varekjøp
10.03.2025,immediate,,-344.0,immediate
10.03.2025,Varekjøp,,-47.0,Varekjøp
10.03.2025,Varekjøp,,-237.8,Varekjøp
07.03.2025,Overføring,,-8000.0,Overføring
07.03.2025,Betaling innland,,-2000.0,Betaling innland
07.03.2025,Varekjøp,,-91.44,Varekjøp
07.03.2025,Overføring,,-1500.0,Overføring
06.03.2025,Varekjøp,,-135.2,Varekjøp
06.03.2025,Varekjøp,,-240.0,Varekjøp
05.03.2025,Varekjøp,,-134.8,Varekjøp
05.03.2025,Varekjøp,,-1104.12,Varekjøp
05.03.2025,Varekjøp,,-290.58,Varekjøp
05.03.2025,Varekjøp,,-69.8,Varekjøp
05.03.2025,Varekjøp,,-174.4,Varekjøp
04.03.2025,Varekjøp,,-478.0,Varekjøp
04.03.2025,Varekjøp,,-76.64,Varekjøp
03.03.2025,Varekjøp,,-108.8,Varekjøp
03.03.2025,Varekjøp,,-120.8,Varekjøp
03.03.2025,Varekjøp,,-200.4,Varekjøp
03.03.2025,Overføring,,-4000.0,Overføring
03.03.2025,Varekjøp,,-300.0,Varekjøp
03.03.2025,Overføring,,-2041.0,Overføring
03.03.2025,Varekjøp,,-264.4,Varekjøp
03.03.2025,Varekjøp,,-231.3,Varekjøp
03.03.2025,Overføring,,-2000.0,Overføring
03.03.2025,Overføring,,-4500.0,Overføring
03.03.2025,Varekjøp,,-180.0,Varekjøp
03.03.2025,Varekjøp,,-268.1,Varekjøp
28.02.2025,Varekjøp,,-117.0,Varekjøp
28.02.2025,Varekjøp,,-18.59,Varekjøp
25.02.2025,Varekjøp,,-427.22,Varekjøp
25.02.2025,Varekjøp,,-127.9,Varekjøp
25.02.2025,Varekjøp,,-7.92,Varekjøp
25.02.2025,Varekjøp,,-84.0,Varekjøp
25.02.2025,Varekjøp,,-160.0,Varekjøp
25.02.2025,Varekjøp,,-78.0,Varekjøp
24.02.2025,Varekjøp,,-518.6,Varekjøp
24.02.2025,Varekjøp,,-258.5,Varekjøp
24.02.2025,Varekjøp,,-152.7,Varekjøp
21.02.2025,Varekjøp,,-135.8,Varekjøp
21.02.2025,Varekjøp,,-631.69,Varekjøp
20.02.2025,Overføring,,-5500.0,Overføring
20.02.2025,Varekjøp,,-134.8,Varekjøp
20.02.2025,Overføring,,-3000.0,Overføring
